NEF;pkw;red;Rote Ampel;2010;27.01.2010;0;0;0;ja;morgens (9);;
RTW;pkw;icy;glätte;2010;26.01.2010;1;0;0;ja;;;
Notfallmanager;pkw;intersection;kreuzung;2010;26.01.2010;0;0;0;;;;
rtw;pkw;intersection;?;2010;25.01.2010;0;0;0;ja;;;
Notarzt;pkw;intersection;Kreuzung;2010;24.01.2010;0;0;0;ja;;;Landstrasse
nef;pkw;intersection;Kreuzung;2010;19.01.2010;1;0;0;ja;;;
RTW;pkw;red;Rote Ampel;2010;19.01.2010;2;0;0;;;;
rtw;Fussgaenger;alcohol;Alkohol;2010;18.01.2010;1;0;0;ja;mittags (11);;Landstrasse
Feuerwehr;pkw;red;Rote Ampel;2010;16.01.2010;0;0;0;ja;;;
rtw;Bus;red;Rote Ampel;2010;12.01.2010;2;0;0;ja;;;
rtw;pkw;intersection;Kreuzung;2010;08.01.2010;3;0;0;ja;Abends;;
Feuerwehr;Transporter;alcohol;Alkohol;2010;07.01.2010;0;0;0;ja;;;
polizei;pkw;red;Rote Ampel;2010;07.01.2010;0;0;0;ja;;;
Kurier;pkw;overtaking;Überholvorgang;2010;06.01.2010;0;0;0;ja;;;
NEF;;icy;glätte;2010;06.01.2010;0;0;0;ja;Abends;;
Polizei;pkw;red;Rote Ampel;2010;05.01.2010;2;0;0;ja;;;Innerorts
NEF;;icy;glätte;2010;03.01.2010;1;0;0;ja;;;
polizei;Strassenbahn;icy;glätte;2010;03.01.2010;0;0;0;ja;mittags (11);;Innerorts
polizei;Taxi;red;Rote Ampel;2010;01.01.2010;1;0;0;ja ;nachts(4);;
polizei;Fussgaenger;pedestrian;?;2010;01.01.2010;1;0;0;ja;;;Innerorts
pkw;pkw;Stop;Stopschild;2010;01.01.2010;1;0;0;ja;nachts(2);;Landstrasse
NEF;pkw;breaking;aufgefahren beim Anhlaten;2009;28.12.2009;0;0;0;ja;;;
polizei;pkw;turning;abbiegen;2009;23.12.2009;2;0;0;ja;;;
RTW;;icy;glätte;2009;21.12.2009;0;0;0;ja;nachts(4);;Autobahn
Feuerwehr;;icy;glätte;2009;18.12.2009;0;0;0;ja;nachts(3);;Autobahn
Feuerwehr;pkw;red;Rote Ampel;2009;08.12.2009;0;0;0;ja;;;Landstrasse
Polizei;pkw;misc;verfolgung;2009;07.12.2009;2;0;0;ja;;;Autobahn
NEF;Motorrad;intersection;? Kreuzung;2009;07.12.2009;0;0;1;ja;;;
NEF;pkw;intersection;Kreuzung;2009;03.12.2009;0;0;0;ja;;;
RTW;pkw;intersection;Kreuzung;2009;02.12.2009;2;0;0;ja ;Morgens (10Uhr);;
RTW;pkw;red;Rote Ampel;2009;27.11.2009;2;0;0;ja;morgens(9);;Innerorts
polizei;Fussgaenger;red;Rote Ampel;2009;25.11.2009;1;0;0;ja;abends(19);;innerorts
polizei;pkw;red;Rote Ampel;2009;18.11.2009;1;0;0;ja;;;Innerorts
polizei;pkw;turning;wenden;2009;18.11.2009;2;0;0;ja;abends;;
NEF;pkw;red;Rote Ampel;2009;17.11.2009;2;0;0;ja;;;
Polizei;Taxi;rear-end collision;gerammt;2009;15.11.2009;0;0;0;ja;morgens;;
NEF;pkw;turning;Einbiegen;2009;12.11.2009;0;0;0;ja;;;Landstrasse
RTW;pkw;red;rote Ampel;2009;09.11.2009;3;0;0;ja;abend (18);;Autobahn
Polizei;Taxi;red;Rote Ampel;2009;08.11.2009;7;0;0;ja;;;
Polizei, pkw;pkw;intersection;kreuzung;2009;07.11.2009;2;0;0;ja;;;
polizei;Taxi;red;Rote Ampel;2009;02.11.2009;1;0;0;ja;nachts (23);;
NEF;Fussgaenger;red;Rote Ampel;2009;02.11.2009;0;1;0;ja;;;
RTW;pkw;red;Rote Ampel;2009;02. November 2009 ;1;0;0;ja;abends;;
RTW;pkw;red;Rote Ampel;2009;01.11.2009;5;0;0;ja;;;
polizei;Fussgaenger;red;Rote Ampel;2009;30.10.2009;0;0;0;ja;;;
RTW;pkw;turning;wenden;2009;28.10.2009;0;0;0;ja;;;Innerorts
Rtw;pkw;intersection;Ampel ausgestellt, stoppschild übersehen;2009;13.10.2009;1;0;0;ja;Nachts (23Uhr);;
rtw;pkw;intersection;Kreuzung;2009;12.10.2009;0;0;0;ja;nachmittags (17Uhr);;
polizei;Traktor;alcohol;Absicht+alkohol;2009;11.10.2009;0;0;0;ja;Abend;;Landstrasse
Polizeit;pkw;misc;Bei busspur übersehen;2009;09.10.2009;0;0;0;ja;?;;Innerorts
Polizei;pkw;red;Rote Ampel;2009;08.10.2009;3;0;0;ja;?;;?
Feuerwehr;pkw;misc;Einschervorgang;2009;07.10.2009;0;0;0;ja;Mittags (12uhr);;
Polizeimotorrad;pkw;breaking;aufgefahren beim Anhlaten;2009;05.10.2009;0;0;0;nein;?;;?
Polizeiwagen;pkw;parking;Beim Absichern übersehen;2009;02.10.2009;2;0;0;ja nur blaulicht;;;Autobahn
Rettungswagen;pkw;red;Rote Ampel;2009;25.02.2009;2;0;0;ja;nachts (23);;Innerorts
Rettungswagen;Motorrad;breaking;abbremsen anderer verkehrsteilnehmer;2010;29.10.2010;0;1;0;ja;morgens;;Innerorts
